Dataset,Method,Contamination,Metric,Value
Rectangles,IsolationForest,0.05,Accuracy,0.896
Rectangles,IsolationForest,0.05,Precision,0.46
Rectangles,IsolationForest,0.05,Recall,0.23
Rectangles,IsolationForest,0.05,F1-Score,0.30666666666666664
Rectangles,IsolationForest,0.05,ROC-AUC,0.674188888888889
Rectangles,KMeansIsolationForest,0.05,Accuracy,0.93
Rectangles,KMeansIsolationForest,0.05,Precision,0.8
Rectangles,KMeansIsolationForest,0.05,Recall,0.4
Rectangles,KMeansIsolationForest,0.05,F1-Score,0.5333333333333333
Rectangles,KMeansIsolationForest,0.05,ROC-AUC,0.7479444444444445
Rectangles,IsolationForest,0.1,Accuracy,0.862
Rectangles,IsolationForest,0.1,Precision,0.31
Rectangles,IsolationForest,0.1,Recall,0.31
Rectangles,IsolationForest,0.1,F1-Score,0.31
Rectangles,IsolationForest,0.1,ROC-AUC,0.674188888888889
Rectangles,KMeansIsolationForest,0.1,Accuracy,0.9
Rectangles,KMeansIsolationForest,0.1,Precision,0.5
Rectangles,KMeansIsolationForest,0.1,Recall,0.5
Rectangles,KMeansIsolationForest,0.1,F1-Score,0.5
Rectangles,KMeansIsolationForest,0.1,ROC-AUC,0.7479444444444445
Rectangles,IsolationForest,0.15,Accuracy,0.82
Rectangles,IsolationForest,0.15,Precision,0.23333333333333334
Rectangles,IsolationForest,0.15,Recall,0.35
Rectangles,IsolationForest,0.15,F1-Score,0.28
Rectangles,IsolationForest,0.15,ROC-AUC,0.674188888888889
Rectangles,KMeansIsolationForest,0.15,Accuracy,0.86
Rectangles,KMeansIsolationForest,0.15,Precision,0.36666666666666664
Rectangles,KMeansIsolationForest,0.15,Recall,0.55
Rectangles,KMeansIsolationForest,0.15,F1-Score,0.44
Rectangles,KMeansIsolationForest,0.15,ROC-AUC,0.7479444444444445
Rectangles,IsolationForest,0.2,Accuracy,0.786
Rectangles,IsolationForest,0.2,Precision,0.215
Rectangles,IsolationForest,0.2,Recall,0.43
Rectangles,IsolationForest,0.2,F1-Score,0.2866666666666667
Rectangles,IsolationForest,0.2,ROC-AUC,0.674188888888889
Rectangles,KMeansIsolationForest,0.2,Accuracy,0.816
Rectangles,KMeansIsolationForest,0.2,Precision,0.29
Rectangles,KMeansIsolationForest,0.2,Recall,0.58
Rectangles,KMeansIsolationForest,0.2,F1-Score,0.38666666666666666
Rectangles,KMeansIsolationForest,0.2,ROC-AUC,0.7479444444444445
Rectangles,IsolationForest,0.25,Accuracy,0.742
Rectangles,IsolationForest,0.25,Precision,0.184
Rectangles,IsolationForest,0.25,Recall,0.46
Rectangles,IsolationForest,0.25,F1-Score,0.26285714285714284
Rectangles,IsolationForest,0.25,ROC-AUC,0.674188888888889
