Method,Library,Dataset Size,Mean Time (s),Std Time (s)
Our IForest,Custom,1000,0.23092123140013426,0.03416426498688616
PyOD IForest,PyOD,1000,0.08551902919934946,0.003394951943600818
sklearn IForest,sklearn,1000,0.06900180979937431,0.003819445223907837
h2o Extended IForest,h2o,1000,0.3067616486005136,0.09999616524888784
Our IForest,Custom,5000,0.27009005419968163,0.010930098947801996
PyOD IForest,PyOD,5000,0.11317129080016457,0.005005861737190163
sklearn IForest,sklearn,5000,0.07749519499993766,0.004031784264306679
h2o Extended IForest,h2o,5000,0.43758169339962477,0.0022848014803688982
Our IForest,Custom,10000,0.3326675587995851,0.03512126324826963
PyOD IForest,PyOD,10000,0.15383739340031752,0.004369689117237321
sklearn IForest,sklearn,10000,0.08256584840019059,0.002594285569998482
h2o Extended IForest,h2o,10000,0.44707156299955386,0.0015173937289218189
Our IForest,Custom,50000,0.9173198582000623,0.012006613059850837
PyOD IForest,PyOD,50000,0.42048787560052003,0.008997255477010255
sklearn IForest,sklearn,50000,0.10513755659958406,0.0014684772535965582
h2o Extended IForest,h2o,50000,0.5290588638003101,0.005898354428559299
