Dataset Size,Method,Mean Time (s),Std Time (s)
1000,Our IsolationForest,0.6096896184000797,0.7240541063202371
1000,sklearn IsolationForest,0.07931512960003602,0.005895618811066468
1000,Our KMeansIsolationForest,3.8982327392000116,0.09864542040811383
5000,Our IsolationForest,0.28914824939993194,0.03795165231096043
5000,sklearn IsolationForest,0.08728861399995366,0.004291580736854021
5000,Our KMeansIsolationForest,4.196450669999922,0.08174082368523097
10000,Our IsolationForest,0.3687401995998698,0.011512315836544176
10000,sklearn IsolationForest,0.12376445919990146,0.03904562844294083
10000,Our KMeansIsolationForest,4.570647553799972,0.1795127925929051
20000,Our IsolationForest,0.5551190441999097,0.05192209672931165
20000,sklearn IsolationForest,0.1530561012000362,0.009410731312764431
20000,Our KMeansIsolationForest,4.916711046600085,0.07902105604153058
