Method,Library,Dataset Size,Mean Time (s),Std Time (s)
Our IForest,Custom,1000,0.587019614800002,0.7807259826246795
PyOD IForest,PyOD,1000,0.08664690680000434,0.0025865855283779457
sklearn IForest,sklearn,1000,0.08365916999999853,0.031009547219419845
Our IForest,Custom,5000,0.2659560178000021,0.03836989151913056
PyOD IForest,PyOD,5000,0.1133825126000005,0.004491689114085639
sklearn IForest,sklearn,5000,0.07129518440000027,0.0051752727675642264
Our IForest,Custom,10000,0.3467042403999983,0.0069830517867108186
PyOD IForest,PyOD,10000,0.14449977579999995,0.0026466305111769142
sklearn IForest,sklearn,10000,0.08215204340000071,0.0018573249240326475
Our IForest,Custom,50000,0.9203458621999943,0.03611753525673832
PyOD IForest,PyOD,50000,0.419868516599999,0.008702772706602127
sklearn IForest,sklearn,50000,0.1100064428000053,0.0040565727318421915
