Dataset Size,Method,Mean Time (s),Std Time (s)
500,IsolationTree (single),0.0014495191997411893,0.00032194696102145505
500,IsolationForest (n=100),0.2999890029997914,0.18223852985505776
500,KMeansIsolationTree (single),0.41230233060014143,0.01746378984233956
500,KMeansIsolationForest (n=100),44.09895642900047,1.2233384278777648
800,IsolationTree (single),0.0012166144002549117,0.000261863417211699
800,IsolationForest (n=100),0.198396631000287,0.08594001620147952
800,KMeansIsolationTree (single),0.42402007759992555,0.013060904377474616
800,KMeansIsolationForest (n=100),44.007806406398956,0.398204050578872
900,IsolationTree (single),0.0016942778001975967,0.00045291999226083104
900,IsolationForest (n=100),0.2742044386002817,0.13288306987811033
900,KMeansIsolationTree (single),0.43935291640009383,0.016672600585677478
900,KMeansIsolationForest (n=100),44.13323391240046,1.1446856428126648
1000,IsolationTree (single),0.0013536377999116666,0.0002020239903556081
1000,IsolationForest (n=100),0.19745585800010304,0.08853260697706841
1000,KMeansIsolationTree (single),0.4167365962002805,0.021100055055491656
1000,KMeansIsolationForest (n=100),44.123042350000105,0.49064220239608974
5000,IsolationTree (single),0.0016403182005888084,0.00037121237921037355
5000,IsolationForest (n=100),0.27309999160024745,0.09555804811040354
5000,KMeansIsolationTree (single),0.4225733872001001,0.013001738186131387
5000,KMeansIsolationForest (n=100),43.24075386439945,0.6160813492271509
